genenames,CHASM,DawnRank,EntroRank,Intdriver,MA,MCGfinder,MaxMIF_HumanNet,MaxMIF_Influencegraph,MaxMIF_STRINGv10,Muf_max_HumanNet,Muf_max_STRINGv10,Muf_max_influencegraph,Muf_sum_HumanNet,Muf_sum_STRINGv10,Muf_sum_influencegraph,Music,NMTF,OncodriveClust,OncodriveFM,RME,SIFT,Subdyquency,Unicovex_PPR,Unicovex_influencegraph,activedriver,dendrix_frequency,dendrix_weight,diffusion,dndscv,dotsfinder,drivernet,polyphen-2,ncg_6,cgc,ccgs
PELP1,0,0,7326,0,28681,0,7232,9879,5900,9061,16677,4302,14294,15609,8000,10386,0,0,5224,0,5597,0,4216,3631,168,0,0,0,17033,8429,0,8199,N,N,Y
SRP68,0,0,8214,0,12121,0,6074,9873,9814,9393,11681,10264,12256,10721,12154,13787,0,0,5437,0,1877,1973,0,0,7159,973,314,0,8831,11831,0,9345,N,N,N
HIPK4,0,0,0,0,43027,0,7494,9886,7314,9123,3121,15031,12538,5352,13865,12348,0,0,0,0,7524,0,6207,0,7160,782,1352,0,18718,11441,0,4876,N,N,Y
CCDC97,0,0,0,0,9465,0,9171,8455,9867,11949,14047,12977,12853,10518,10641,2839,0,0,2982,0,3580,0,5085,0,7161,0,0,0,604,6055,0,7659,N,N,N
PRR19,0,0,0,0,44527,0,12604,4641,4531,14736,4880,13770,13170,12519,11271,2813,0,0,0,0,11471,0,6111,0,0,684,403,0,2978,9377,0,8795,N,N,N
MIR516B2,0,0,0,0,0,0,13374,9881,13548,0,0,0,0,0,0,2136,0,0,0,0,0,0,0,0,0,1601,736,0,0,0,0,0,N,N,N
MIR941-4,0,0,0,0,0,0,13373,9880,13547,0,0,0,0,0,0,1534,0,0,0,0,0,0,0,0,0,1373,209,0,0,0,0,0,N,N,N
ZDHHC23,0,0,0,0,40393,0,6949,9867,9348,9010,13647,14275,14661,13798,13161,14270,0,0,817,0,5824,0,0,0,7162,909,1484,0,19512,13398,0,12118,N,N,N
MAEA,0,0,5702,0,51891,0,8660,9882,4679,13406,1588,10684,6179,6358,11920,3686,0,0,4503,0,5246,0,0,0,5675,0,0,0,1273,7087,0,4843,N,N,Y
GYPA,0,0,0,0,86676,0,8133,5589,4073,10585,2505,13722,10523,8000,11231,17057,0,0,0,0,4570,0,6256,0,0,0,0,0,5618,0,0,0,N,N,N
TCF7,0,0,8686,0,16552,0,7410,9870,6309,7473,6890,6623,5345,4800,7505,13895,0,0,0,0,0,0,4903,3840,0,0,0,0,19023,13880,0,7453,Y,N,N
TCP1,0,0,7483,0,13334,0,5550,9869,3760,4302,1256,344,3064,2602,4613,13899,0,0,0,0,11106,0,7828,5047,7163,0,0,0,18976,8065,0,4951,N,N,N
TCP10L2,0,0,0,0,46161,0,4769,7333,11675,5555,13685,11933,8030,10839,8486,3182,0,0,5092,0,7034,0,0,0,0,0,0,0,16011,10157,0,4610,N,N,N
HIBADH,0,0,0,0,86678,0,7502,9887,7552,11262,8445,14271,5840,11637,13157,12344,0,0,0,0,0,0,0,0,0,0,0,0,8494,12345,0,0,N,N,N
ERLIN2,0,0,7445,0,6256,0,8374,9888,9003,12696,16834,985,11178,15766,11712,9790,0,0,2927,0,4833,0,0,0,7165,0,0,0,7361,6230,0,4066,N,N,N
LCN12,0,0,0,0,86690,0,8810,9883,11921,15096,13935,15154,11837,12690,13977,17831,0,0,0,0,4500,0,0,0,0,0,0,0,12100,0,0,0,N,N,N
RIPPLY1,0,0,5703,0,29941,0,13372,9875,12167,16388,15543,11019,15505,15274,12673,6576,0,0,2387,0,3719,0,6965,5850,0,0,0,0,19002,12670,0,6327,N,N,N
TCEANC,0,0,5704,0,47510,0,13371,9871,13546,16437,10460,8591,15556,12043,7866,13893,0,0,0,0,0,0,7953,5052,0,0,0,0,18412,0,0,0,N,N,N
STXBP4,0,0,6850,0,10670,0,7875,9872,10393,7333,12926,8751,8478,11706,12453,5826,0,0,6434,0,7133,0,7726,5134,6044,0,0,0,2857,6625,0,8134,N,N,N
ILF2,0,0,5705,0,9145,0,4879,11633,8280,10277,11648,6700,5195,9702,12581,12445,0,0,8846,0,11371,0,6295,4772,7167,0,0,0,18001,11378,0,10182,N,N,N
GLRX2,0,0,5706,0,11222,0,10015,11638,11069,10735,7273,13686,7576,11935,12988,12235,0,0,0,0,10913,0,0,0,0,1015,505,0,12753,12948,0,8712,N,N,N
TMEM222,0,0,0,0,11469,0,10715,11596,13755,15575,14157,14947,14680,14675,13784,13979,0,0,0,0,10303,0,7484,0,0,0,0,0,13502,14060,0,2462,N,N,N
DCDC2B,0,0,0,0,46701,0,13641,11644,10941,16375,8225,14394,15492,12975,13274,11843,0,0,2246,0,5245,0,5301,0,5691,0,0,0,18574,11899,0,5197,N,N,N
NODAL,0,0,7522,0,54855,0,12343,11621,9228,15970,17074,3646,15083,16006,9176,12924,0,0,0,0,198,1843,0,0,0,0,0,0,19325,11006,0,3704,N,N,N
PPP1R3C,0,0,7682,0,9630,0,7835,11612,9247,10930,5369,7189,12445,10661,8355,13228,0,0,4668,0,3383,781,6526,6174,7171,0,0,0,19173,13192,0,2868,N,N,N
TCP11L1,0,0,0,0,6952,0,10856,11597,10281,14950,5862,15805,14676,13963,14566,13901,0,0,5662,0,13509,0,0,0,7172,1571,242,0,18812,8279,0,2643,N,N,N
SLC25A22,483,0,0,0,43040,0,9195,11604,10448,11362,10485,14616,6678,11594,13475,13649,0,0,0,0,6619,0,0,0,7173,0,0,0,15810,13682,0,12296,N,N,N
TAS2R9,0,0,7271,0,24130,0,13632,11599,12335,16400,14984,12103,15517,14981,12962,13879,0,0,0,0,10467,0,0,0,0,0,0,0,17663,13511,0,8963,N,N,N
PRKAB1,0,0,2373,0,17958,0,1252,2013,134,2984,137,169,6227,4590,2104,3171,0,0,6321,0,3505,843,3386,2901,1112,485,181,0,655,7054,0,2911,N,N,Y
