genenames,CHASM,DawnRank,EntroRank,Intdriver,MA,MCGfinder,MaxMIF_HumanNet,MaxMIF_Influencegraph,MaxMIF_STRINGv10,Muf_max_HumanNet,Muf_max_STRINGv10,Muf_max_influencegraph,Muf_sum_HumanNet,Muf_sum_STRINGv10,Muf_sum_influencegraph,Music,NMTF,OncodriveClust,OncodriveFM,RME,SIFT,Subdyquency,Unicovex_PPR,Unicovex_influencegraph,activedriver,dendrix_frequency,dendrix_weight,diffusion,dndscv,dotsfinder,drivernet,polyphen-2,ncg_6,cgc,ccgs
BAG6,0,0,3160,0,0,0,1466,6653,3345,3258,2170,2349,4164,5722,8312,2952,0,0,0,0,0,0,3376,2872,281,0,0,0,4124,6398,0,0,N,N,Y
GNB2,157,0,418,0,28426,0,1064,1071,753,3013,3182,745,2098,1114,555,1723,0,0,1400,0,12537,1063,1569,1292,2713,178,1317,606,184,3405,188,2773,N,N,N
PAXIP1,0,0,1101,0,22377,0,820,4632,405,529,629,1993,2012,3353,1291,5395,0,0,6543,0,9130,0,1977,1573,2925,0,0,0,2295,5870,0,7270,N,N,Y
ATP11C,0,0,0,0,290,0,2991,543,3090,2784,6566,7364,1984,800,2174,7304,0,1555,144,0,6124,0,0,0,3290,0,0,0,1019,778,0,10634,N,N,N
OVGP1,0,0,4172,0,24522,0,5940,9336,7116,6640,4391,7728,13781,5815,7425,9281,0,0,0,0,0,2109,5053,4399,0,233,874,0,15021,5660,0,10457,N,N,N
TBX15,0,0,6719,0,569,0,6436,5402,5725,8012,5355,2088,5875,4829,6127,6407,0,0,1783,0,1384,0,2654,1759,0,1136,239,0,2969,4785,0,1673,N,N,N
KIFAP3,0,0,1306,0,22311,0,2079,4036,5159,3439,8278,3096,6324,3923,2445,9094,0,0,3611,0,6838,1216,2181,1969,2352,0,0,0,8889,4688,0,9726,N,N,N
GPR25,0,0,5575,0,3687,0,8275,2807,8391,12881,13463,8701,10427,10785,8798,513,0,0,4303,0,9432,0,3126,2659,0,0,0,0,10561,6823,0,7588,N,N,N
RCC1,0,0,2985,0,14993,0,1191,6207,4148,7643,15497,7823,4277,11607,7423,12130,0,0,0,0,7324,0,4369,2969,276,0,0,0,19298,10862,0,0,N,N,N
PTPRU,0,0,3683,0,9181,0,2649,1169,3982,3088,11796,5519,2350,3231,2739,4551,0,2690,4986,0,5740,0,655,516,2353,0,0,0,1005,1168,0,9491,N,N,Y
C1orf94,0,0,0,0,14827,0,2561,2751,4395,0,0,0,0,0,0,8638,0,0,3188,0,1412,0,1584,0,0,0,0,0,11881,8211,0,5544,N,N,N
INPP5B,0,0,2268,0,14707,0,3114,5381,1410,1981,14577,853,4077,8802,3877,8149,0,1446,0,0,8429,1537,2266,1616,2354,0,0,157,10538,4660,0,0,N,N,N
FHL3,0,0,0,0,17117,0,7454,9348,7628,10879,7098,13982,10920,6965,12449,10920,0,0,0,0,11353,0,6646,0,0,0,0,0,17299,12754,0,8461,N,N,N
